,0
0,0.15406707
1,0.61306614
2,0.14003822
3,0.14044689
4,0.12239173
5,0.06567269
6,0.026978604
7,0.033199303
8,0.049114443
9,-0.00027630889
10,0.08086822
11,0.06703964
12,-5.4062693e-05
13,-4.3923137e-07
14,-0.00012405435
15,-1.4247555e-05
16,-0.00012422593
17,-4.773916e-06
18,-2.766668e-05
19,-3.3100456e-05
20,-1.617429e-05
21,-3.057953e-05
22,-6.869357e-05
23,0.031055199
24,-1.457968e-05
25,-1.5112459e-05
26,-3.5257544e-06
27,-8.792093e-06
28,-5.9395297e-06
29,-6.577857e-05
30,-9.560408e-06
31,-2.9550476e-05
32,-2.7152018e-05
33,-3.7682017e-05
34,-1.4259422e-07
35,0.05663569
36,-7.356018e-05
37,-3.5339523e-05
38,-3.92874e-05
39,-1.2872635e-05
40,-8.207691e-06
41,-1.0337029e-05
42,-2.9519773e-05
43,0.044183422
44,-4.954127e-06
45,-1.6154841e-05
46,-4.9459784e-05
47,-2.6016723e-05
48,-1.1794831e-05
49,-1.4181973e-05
50,-2.1595328e-05
51,-1.0787742e-05
52,-1.5983424e-05
53,-5.5383744e-06
54,-6.858196e-06
55,-4.9209066e-06
56,-3.4317516e-05
57,0.01124438
58,-5.91548e-06
59,-2.4939345e-07
60,-1.947224e-05
61,-4.7501408e-06
62,-8.336265e-06
63,0.0283062
64,0.0020696507
65,-1.9220279e-06
66,-3.0981591e-06
67,-6.4708147e-06
68,-8.100107e-06
69,-1.2340906e-06
70,-1.9631716e-06
71,-3.7964287e-06
72,-2.398814e-06
73,-1.10314995e-05
74,-5.9683844e-06
75,-4.7778394e-06
76,-1.785636e-06
77,0.007945103
